year_month,counts
2000-01,117
2000-02,211
2000-03,148
2000-04,209
2000-05,228
2000-06,179
2000-07,299
2000-08,181
2000-09,140
2000-10,180
2000-11,241
2000-12,170
2001-01,236
2001-02,186
2001-03,165
2001-04,222
2001-05,382
2001-06,247
2001-07,335
2001-08,185
2001-09,209
2001-10,259
2001-11,211
2001-12,289
2002-01,426
2002-02,362
2002-03,345
2002-04,384
2002-05,323
2002-06,431
2002-07,314
2002-08,161
2002-09,195
2002-10,238
2002-11,192
2002-12,223
2003-01,253
2003-02,270
2003-03,269
2003-04,339
2003-05,275
2003-06,358
2003-07,379
2003-08,165
2003-09,402
2003-10,271
2003-11,224
2003-12,428
2004-01,329
2004-02,236
2004-03,597
2004-04,465
2004-05,430
2004-06,402
2004-07,395
2004-08,420
2004-09,346
2004-10,285
2004-11,310
2004-12,413
2005-01,470
2005-02,450
2005-03,472
2005-04,381
2005-05,476
2005-06,459
2005-07,294
2005-08,269
2005-09,331
2005-10,283
2005-11,249
2005-12,331
2006-01,261
2006-02,371
2006-03,461
2006-04,428
2006-05,501
2006-06,407
2006-07,486
2006-08,299
2006-09,433
2006-10,402
2006-11,469
2006-12,575
2007-01,540
2007-02,469
2007-03,848
2007-04,650
2007-05,1008
2007-06,1266
2007-07,1496
2007-08,1539
2007-09,1397
2007-10,2012
2007-11,2066
2007-12,1558
2008-01,1579
2008-02,1546
2008-03,2005
2008-04,2811
2008-05,2938
2008-06,3028
2008-07,3378
2008-08,3231
2008-09,2612
2008-10,2711
2008-11,3789
2008-12,2511
2009-01,4901
2009-02,4478
2009-03,4965
2009-04,9561
2009-05,7739
2009-06,10378
2009-07,8411
2009-08,8139
2009-09,4351
2009-10,5928
2009-11,4232
2009-12,3820
2010-01,2346
2010-02,4076
2010-03,9140
2010-04,3888
2010-05,4272
2010-06,5226
2010-07,3630
2010-08,4060
2010-09,2047
2010-10,3084
2010-11,2385
2010-12,2314
2011-01,3550
2011-02,3854
2011-03,4243
2011-04,3197
2011-05,3174
2011-06,2830
2011-07,3440
2011-08,2570
2011-09,2696
2011-10,3326
2011-11,2597
2011-12,3528
2012-01,3302
2012-02,3658
2012-03,3150
2012-04,3858
2012-05,4286
2012-06,3544
2012-07,4087
2012-08,2531
2012-09,3605
2012-10,5006
2012-11,4119
2012-12,5115
2013-01,5460
2013-02,5293
2013-03,5418
2013-04,6984
2013-05,6886
2013-06,6456
2013-07,6960
2013-08,3963
2013-09,7248
2013-10,8884
2013-11,5197
2013-12,9200
2014-01,6602
2014-02,5664
2014-03,6840
2014-04,6782
2014-05,5557
2014-06,6554
2014-07,4012
2014-08,4970
2014-09,5434
2014-10,5477
2014-11,5976
2014-12,6532
2015-01,5316
2015-02,4858
2015-03,5004
2015-04,4059
2015-05,4980
2015-06,5103
2015-07,3215
2015-08,4677
2015-09,5198
2015-10,4099
2015-11,6307
2015-12,5894
2016-01,5330
2016-02,6348
2016-03,4303
2016-04,5065
2016-05,5034
2016-06,5020
2016-07,4363
2016-08,5781
2016-09,3462
2016-10,4655
2016-11,5312
2016-12,4538
2017-01,5894
2017-02,5512
2017-03,6696
2017-04,5844
2017-05,6127
2017-06,3587
2017-07,5409
2017-08,5807
2017-09,4174
2017-10,5445
2017-11,4641
2017-12,5612
2018-01,4876
2018-02,4065
2018-03,4178
2018-04,4358
2018-05,4909
2018-06,3716
2018-07,4433
2018-08,3419
2018-09,3410
2018-10,4765
2018-11,4047
2018-12,4159
2019-01,3428
2019-02,4060
2019-03,3944
2019-04,4612
2019-05,4394
2019-06,3292
2019-07,5286
2019-08,3373
2019-09,4788
2019-10,6205
2019-11,4302
2019-12,5497
2020-01,4044
2020-02,5349
2020-03,4622
2020-04,1963
2020-05,1860
2020-06,3427
2020-07,3972
2020-08,3655
2020-09,4858
2020-10,5384
2020-11,5411
2020-12,4886
2021-01,6279
2021-02,5104
2021-03,6894
2021-04,6630
2021-05,5876
2021-06,8151
2021-07,5879
2021-08,7440
2021-09,7540
2021-10,6865
2021-11,9118
2021-12,7017
2022-01,7075
2022-02,7806
2022-03,10508
2022-04,8514
2022-05,8125
2022-06,11124
2022-07,9170
2022-08,11838
2022-09,10759
2022-10,10546
2022-11,13515
2022-12,11348
2023-01,11694
2023-02,11795
2023-03,15179
2023-04,9809
2023-05,14672
2023-06,12995
2023-07,13852
2023-08,14878
2023-09,16414
2023-10,15103
2023-11,15416
2023-12,14367
2024-01,14698
2024-02,15076
2024-03,16448
2024-04,14215
2024-05,21803
2024-06,17561
2024-07,21308
